Должность,Зарплата,Компания,Ссылка,ЗП_От,ЗП_До,Валюта,ЗП_Средняя
Middle Data Analyst,Опыт 1-3 года Можно удалённо,Adviva,https://spb.hh.ru/vacancy/136086816?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик спортивных событий / Спортивный трейдер (с поддержкой ИИ и разработчиков),"50 000 – 100 000 ₽ за месяц, на руки Без опыта Можно удалённо Выплаты: Два раза в месяц",ООО Озоникс,https://spb.hh.ru/vacancy/136182015?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,50000.0,100000.0,RUB,75000.0
Аналитик данных (Data Analyst),Опыт 1-3 года Можно удалённо,Совков Артем Вадимович,https://spb.hh.ru/vacancy/136092227?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных / Data Analyst Управление модельных рисков и валидации,Опыт 1-3 года Можно удалённо,"Банк ВТБ (ПАО), Технологический блок",https://spb.hh.ru/vacancy/136328667?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Менеджер по маркетинговой аналитике,"до 100 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО Нита-Фарм,https://spb.hh.ru/vacancy/135909974?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,100000.0,RUB,100000.0
Продуктовый аналитик для команды роста,Опыт 1-3 года Можно удалённо,Альфа-Банк. ИТ-специалисты,https://spb.hh.ru/vacancy/136051479?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Бизнес-аналитик,Опыт 1-3 года Можно удалённо,CarMoney (Smart Tech Group),https://spb.hh.ru/vacancy/136298272?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик-исследователь / Research & Data Analyst,"от 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО Эрденфарм,https://spb.hh.ru/vacancy/135857540?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,150000.0,,RUB,150000.0
Помощник маркетолога (таблицы и аналитика),"25 000 – 40 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо","Вайб, Онлайн-Школа ЕГЭ",https://spb.hh.ru/vacancy/136109836?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,25000.0,40000.0,RUB,32500.0
Аналитик DWH,"до 150 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",DDPlanet,https://spb.hh.ru/vacancy/134971462?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,150000.0,RUB,150000.0
Аналитик маркетплейсов / Аналитик на OZON,"50 000 – 80 000 ₽ за месяц, на руки Без опыта Можно удалённо",SR 366 (ИП Прошкина Виктория Мансуровна),https://spb.hh.ru/vacancy/135851131?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,50000.0,80000.0,RUB,65000.0
Специалист по контролю отчетности и анализу KPI (Бизнес-аналитика),"600 – 800 $ за месяц, на руки Опыт 1-3 года Можно удалённо",ООО Бэкофис Тайгерс,https://spb.hh.ru/vacancy/135837600?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,600.0,800.0,USD,700.0
Python-разработчик / бизнес-аналитик по автоматизации бизнес-процессов,Опыт 1-3 года Можно удалённо,Honex Auto,https://spb.hh.ru/vacancy/135958850?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data Analyst (Middle),Опыт 1-3 года Можно удалённо,Polonium Arts,https://spb.hh.ru/vacancy/136034338?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"Бизнес-ассистент операционного директора (аналитика, AI, e-commerce)",Опыт 1-3 года Можно удалённо,ООО Qnits,https://spb.hh.ru/vacancy/135930901?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных в программирование,Опыт 1-3 года Можно удалённо,ООО Онлайн-школа Фоксфорд,https://spb.hh.ru/vacancy/134724597?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Специалист по контролю отчетности и анализу KPI (Бизнес-аналитика),"600 – 800 $ за месяц, на руки Опыт 1-3 года Можно удалённо",ООО Бэкофис Тайгерс,https://spb.hh.ru/vacancy/135837601?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,600.0,800.0,USD,700.0
Системный аналитик,Опыт 1-3 года Можно удалённо,ООО СК «Росгосстрах Жизнь»,https://spb.hh.ru/vacancy/135856081?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик дроп-доменов,"от 1 000 $ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Малиновский Константин,https://spb.hh.ru/vacancy/136053670?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,1000.0,,USD,1000.0
Middle Data Analyst,Опыт 1-3 года Можно удалённо,Korzinka (Anglesey food),https://spb.hh.ru/vacancy/136059545?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
