Должность,Зарплата,Компания,Ссылка,ЗП_От,ЗП_До,Валюта,ЗП_Средняя
Финансовый аналитик (трейдер),Без опыта Можно удалённо,ООО SBAM TRADE,https://spb.hh.ru/vacancy/136736448?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Junior разработчик BI,"70 000 – 110 000 ₽ за месяц, на руки Без опыта Можно удалённо",ООО InfoVizion,https://spb.hh.ru/vacancy/136193666?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,70000.0,110000.0,RUB,90000.0
BI-аналитик,Опыт 1-3 года Можно удалённо,АКРОН ХОЛДИНГ,https://spb.hh.ru/vacancy/136780883?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (логистика),Опыт 1-3 года Можно удалённо,Ozon Офис и Коммерция,https://spb.hh.ru/vacancy/136717650?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик продаж в сеть СПА-салонов,Опыт 1-3 года Можно удалённо,ООО Абаканская Маркетинговая Компания,https://spb.hh.ru/vacancy/136798561?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data engineer (Стажер),Без опыта Можно удалённо,Sapiens solutions,https://spb.hh.ru/vacancy/136125082?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (ученик),"от 80 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136631416?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,80000.0,,RUB,80000.0
Аналитик данных (финансы),Опыт 1-3 года Можно удалённо,UZUM TECHNOLOGIES. IT,https://spb.hh.ru/vacancy/136703401?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных,Без опыта Можно удалённо,Тарба Виталий Георгиевич,https://spb.hh.ru/vacancy/136535913?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Помощник категорийного менеджера/ аналитик на маркетплейсы,"60 000 – 100 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Изобилие мясо,https://spb.hh.ru/vacancy/136635624?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,60000.0,RUB,60000.0
Data Analyst,Опыт 1-3 года Можно удалённо,Сравни,https://spb.hh.ru/vacancy/136602656?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Маркетинговый аналитик,Опыт 1-3 года Можно удалённо,СВОЙ,https://spb.hh.ru/vacancy/135080574?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик-лингвист (скриптолог),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо Выплаты: Два раза в месяц",KVINT,https://spb.hh.ru/vacancy/136645060?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Младший бизнес-аналитик,Без опыта Можно удалённо,ООО Точка Качества,https://spb.hh.ru/vacancy/134607015?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик маркетплейсов/e-commerce Ozon/WB,"от 90 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ИП Сиванкаева Наталия Сергеевна,https://spb.hh.ru/vacancy/136610719?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,90000.0,,RUB,90000.0
Game Analyst на мобильную RTS,Без опыта Можно удалённо,Gear Games,https://spb.hh.ru/vacancy/135422140?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных,Опыт 1-3 года Можно удалённо,Coleman Group,https://spb.hh.ru/vacancy/135997211?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Младший менеджер проектов в стрим стратегической аналитики,"от 55 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",Яндекс Крауд: Поддержка,https://spb.hh.ru/vacancy/136648644?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,55000.0,,RUB,55000.0
Старший продуктовый аналитик,"100 000 – 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО АэроТур,https://spb.hh.ru/vacancy/136360036?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,100000.0,150000.0,RUB,125000.0
Клиентский аналитик,"от 30 000 ₽ за месяц, на руки Без опыта Можно удалённо",ООО Самолов Груп,https://spb.hh.ru/vacancy/136482038?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,30000.0,,RUB,30000.0
Коммерческий аналитик,"до 100 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Группа Компаний «Аскона» | Офис,https://spb.hh.ru/vacancy/136476783?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,100000.0,RUB,100000.0
Менеджер по работе с маркетплейсами (Вайлдберрис) аналитик,"80 000 – 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Мельник Александр Олегович,https://spb.hh.ru/vacancy/136649543?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,80000.0,150000.0,RUB,115000.0
Аналитик товаров на маркетплейсы,"70 000 – 150 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ИП Пахомов Андрей Юрьевич,https://spb.hh.ru/vacancy/136117269?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,70000.0,RUB,70000.0
Младший менеджер проектов в стрим стратегической аналитики,"от 55 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",Яндекс Крауд: Поддержка,https://spb.hh.ru/vacancy/136648645?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,55000.0,,RUB,55000.0
Младший аналитик / Ассистент по аналитике Ozon,"от 20 000 ₽ за месяц, на руки Без опыта Можно удалённо Выплаты: Два раза в месяц",Разорёнова Полина Олеговна,https://spb.hh.ru/vacancy/136265279?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,20000.0,,RUB,20000.0
Финансовый аналитик / специалист по сверкам и платежам,"800 – 900 € за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц",ООО Мара-Девелопмент,https://spb.hh.ru/vacancy/135851859?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,800.0,900.0,EUR,850.0
Системный аналитик (стажер),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136675763?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Специалист по логистической-аналитике,"90 000 – 110 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",GTS,https://spb.hh.ru/vacancy/135260470?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,90000.0,110000.0,RUB,100000.0
Специалист по фитнес-аналитике,"от 25 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",ООО СП Рустат,https://spb.hh.ru/vacancy/136583417?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,25000.0,,RUB,25000.0
"Руководитель отдела риск-анализа, Risk Manager","2 000 – 4 000 € за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц",ТОО Orken Capital Fund,https://spb.hh.ru/vacancy/136398788?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,2000.0,4000.0,EUR,3000.0
Специалист отдела мониторинга (спортивный аналитик),Опыт 1-3 года Можно удалённо,Altenar,https://spb.hh.ru/vacancy/133701153?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data Analyst / Аналитик данных,"до 200 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",Генотек,https://spb.hh.ru/vacancy/135117849?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,200000.0,RUB,200000.0
Специалист отдела мониторинга (спортивный аналитик),Опыт 1-3 года Можно удалённо,Altenar,https://spb.hh.ru/vacancy/131662633?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Старший аналитик данных (портал gosuslugi.ru),Опыт 1-3 года Можно удалённо,РТЛабс,https://spb.hh.ru/vacancy/136371169?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик (стажер),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136625679?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Бизнес-аналитик (в отделе СМК),Опыт 1-3 года Можно удалённо,ООО К-Скай,https://spb.hh.ru/vacancy/136353395?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (Платформа анализа данных),Опыт 1-3 года Можно удалённо,ЭР-Телеком Холдинг,https://spb.hh.ru/vacancy/136249408?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик данных (ученик),Без опыта Можно удалённо,Aston,https://spb.hh.ru/vacancy/135979782?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик (стажер),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136582701?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Аналитик данных (Data Scientist),Опыт 1-3 года Можно удалённо,Группа компаний НВМ,https://spb.hh.ru/vacancy/136265966?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик 1С,"60 000 – 80 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО Электроснаб-Кубань,https://spb.hh.ru/vacancy/136483573?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,80000.0,RUB,70000.0
Аналитик-логист маркетплейсов,"от 75 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",ООО ФОЭС,https://spb.hh.ru/vacancy/136325724?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,75000.0,,RUB,75000.0
Аналитик качества данных,Опыт 1-3 года Можно удалённо,Московский Кредитный Банк. ИТ-специалисты,https://spb.hh.ru/vacancy/135867773?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик (стажер),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136477689?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Младший аналитик данных продукта RFBS,Опыт 1-3 года Можно удалённо,Ozon Офис и Коммерция,https://spb.hh.ru/vacancy/135078603?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Ведущий аналитик,"до 96 000 ₽ за месяц, до вычета налогов Опыт 1-3 года Можно удалённо",Группа Компаний «Аскона» | Офис,https://spb.hh.ru/vacancy/136157119?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,96000.0,RUB,96000.0
Специалист отдела мониторинга (спортивный аналитик),Опыт 1-3 года Можно удалённо,Altenar,https://spb.hh.ru/vacancy/136248889?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
BI-разработчик/ BI-аналитик(Junior+/Middle),Опыт 1-3 года Можно удалённо,FIX,https://spb.hh.ru/vacancy/135206389?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Data Analyst Middle,Опыт 1-3 года Можно удалённо,Sputnik8,https://spb.hh.ru/vacancy/135891466?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"Аналитик данных, Группа аналитики по рискам B2B, Ozon Bank",Опыт 1-3 года Можно удалённо,Ozon Банк,https://spb.hh.ru/vacancy/134981920?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Системный аналитик (стажер),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136290997?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Системный аналитик (стажер),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136387845?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Младший тендерный аналитик / помощник просчетчика товарных закупок,"от 45 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: За проект",ООО Флагман,https://spb.hh.ru/vacancy/135832782?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,45000.0,,RUB,45000.0
Преподаватель на курс по Аналитике данных,Опыт 1-3 года Можно удалённо,Бруноям,https://spb.hh.ru/vacancy/136133487?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Старший аналитик отдела развития ассортимента в сфере автозапчастей,"90 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",TISS,https://spb.hh.ru/vacancy/136191651?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,90000.0,,RUB,90000.0
Старший аналитик отдела развития ассортимента в сфере автозапчастей,"90 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",TISS,https://spb.hh.ru/vacancy/136191650?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,90000.0,,RUB,90000.0
Финансовый аналитик,"от 250 000 ₸ за месяц, на руки Опыт 1-3 года Можно удалённо",ТОО CALL2ACTIONAI,https://spb.hh.ru/vacancy/136038209?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,250000.0,,KZT,250000.0
Старший аналитик отдела развития ассортимента в сфере автозапчастей,"90 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",TISS,https://spb.hh.ru/vacancy/136191649?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,90000.0,,RUB,90000.0
Бизнес-аналитик (Support manager L2),"350 000 – 500 000 ₸ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Раз в месяц",ТОО ДЕЛЬТА М КАЗАХСТАН,https://spb.hh.ru/vacancy/136020623?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,350000.0,500000.0,KZT,425000.0
Спортивный Аналитик (Хоккей),"400 – 700 $ за месяц, на руки Без опыта Можно удалённо Выплаты: Раз в месяц",Intelldetect OÜ,https://spb.hh.ru/vacancy/135934726?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,400.0,700.0,USD,550.0
Спортивный Аналитик (Хоккей),"400 – 700 $ за месяц, на руки Без опыта Можно удалённо Выплаты: Раз в месяц",Intelldetect OÜ,https://spb.hh.ru/vacancy/135889731?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,400.0,700.0,USD,550.0
Системный аналитик (стажер),"от 60 000 ₽ за месяц, до вычета налогов Без опыта Можно удалённо",Aston,https://spb.hh.ru/vacancy/136121167?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,60000.0,,RUB,60000.0
Специалист отдела мониторинга (спортивный аналитик),Опыт 1-3 года Можно удалённо,Altenar,https://spb.hh.ru/vacancy/126443728?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
"Системный аналитик Fintech (Middle, Part-Time)",Опыт 1-3 года Можно удалённо,ООО Rizq Tech,https://spb.hh.ru/vacancy/136797060?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Категорийный аналитик | женская одежда (WB / Ozon),"80 000 – 200 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ИП Дайч Юлия Валерьевна,https://spb.hh.ru/vacancy/136006672?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,80000.0,200000.0,RUB,140000.0
Аналитик отдела продаж,"до 70 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо Выплаты: Два раза в месяц",ООО Экспресс Мануфактура,https://spb.hh.ru/vacancy/136650301?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,70000.0,RUB,70000.0
Web-аналитик (E-com),Опыт 1-3 года Можно удалённо,ДИВАН.РУ,https://spb.hh.ru/vacancy/136788345?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Продуктовый аналитик,Опыт 1-3 года Можно удалённо,ООО Мир Хобби,https://spb.hh.ru/vacancy/136805425?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Риск-аналитик (Fintech / Online-займы),Опыт 1-3 года Можно удалённо,ООО МКК Срочноденьги,https://spb.hh.ru/vacancy/135752298?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Аналитик категорий/ Категорийный менеджер (Fashion) / WB,"от 150 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",TOP FLOP,https://spb.hh.ru/vacancy/136343585?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,150000.0,,RUB,150000.0
HR-аналитик,Опыт 1-3 года Можно удалённо,GTS,https://spb.hh.ru/vacancy/136676391?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,,,
Риск-аналитик,"до 253 000 ₽ за месяц, на руки Опыт 1-3 года Можно удалённо",Diamond Personnel R&C,https://spb.hh.ru/vacancy/135198268?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA+%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85&hhtmFrom=vacancy_search_list,,253000.0,RUB,253000.0
